VMID,Duration,Timestamp,Price
332,700,1393571738,0.1298
333,178,1393571913,0.1296
334,347,1393572091,0.1298
335,1769,1393572438,0.13
336,1419,1393572788,0.1298
337,1068,1393573139,0.1297
338,357,1393573670,0.1289
339,180,1393574027,0.1292
340,8280,1393574207,0.1303
341,542,1393574384,0.1295
342,182,1393574744,0.1294
343,352,1393574926,0.1298
344,178,1393575100,0.1296
345,536,1393575278,0.1299
346,360,1393575454,0.1298
347,185,1393575629,0.1297
348,179,1393575814,0.13
349,714,1393575993,0.1301
350,537,1393576170,0.1298
351,175,1393576532,0.1295
352,5780,1393576707,0.1302
353,5422,1393576884,0.13
354,5064,1393577242,0.1296
355,183,1393577420,0.1291
356,3253,1393577603,0.1293
357,3077,1393577779,0.1292
358,362,1393577963,0.1291
359,2531,1393578325,0.1292
360,1080,1393579042,0.1291
361,542,1393579400,0.129
362,180,1393579942,0.1291
363,734,1393580122,0.1292
364,556,1393580300,0.1291
365,194,1393580662,0.129
366,1450,1393580856,0.1296
367,360,1393581036,0.1291
368,182,1393581396,0.1293
369,183,1393581578,0.1294
370,545,1393581761,0.1295
371,181,1393582306,0.1302
372,364,1393582487,0.1306
373,180,1393582671,0.1305
374,178,1393582851,0.1307
375,2929,1393583029,0.1308
376,1096,1393583213,0.1305
377,547,1393583394,0.1303
378,363,1393583578,0.1302
379,187,1393583941,0.1304
380,181,1393584128,0.1305
381,181,1393584309,0.1307
382,1468,1393584490,0.1308
383,186,1393584672,0.1304
384,1100,1393584858,0.1306
385,367,1393585041,0.1296
386,185,1393585223,0.1294
387,183,1393585408,0.1297
388,185,1393585591,0.1303
389,182,1393585776,0.1306
390,2975,1393585958,0.1313
391,374,1393586144,0.1304
392,191,1393586327,0.1303
393,2415,1393586518,0.1311
394,2231,1393586702,0.131
395,184,1393586888,0.1306
396,1675,1393587072,0.1307
397,1118,1393587257,0.1304
398,184,1393587441,0.1292
399,376,1393587625,0.1295
400,189,1393588001,0.1297
401,185,1393588190,0.1304
402,372,1393588375,0.1307
403,184,1393588563,0.1304
404,186,1393588747,0.131
405,9799,1393588933,0.134
406,9423,1393589119,0.1329
407,1884,1393589306,0.1323
408,187,1393589495,0.1315
409,187,1393589682,0.1319
410,186,1393589869,0.1321
411,1135,1393590055,0.1323
412,756,1393590245,0.1319
413,379,1393590435,0.1315
414,189,1393590625,0.1313
415,187,1393590814,0.1316
416,189,1393591001,0.1323
417,7352,1393591190,0.1329
418,6970,1393591572,0.1326
419,569,1393591764,0.1319
420,189,1393591954,0.1315
421,190,1393592143,0.1319
422,6209,1393592333,0.1326
423,190,1393592522,0.1316
424,573,1393592712,0.1319
425,384,1393592901,0.1316
426,192,1393593285,0.132
427,5065,1393593477,0.1325
428,195,1393593671,0.1312
429,968,1393593866,0.1316
430,386,1393594056,0.1307
431,392,1393594442,0.131
432,191,1393594643,0.1306
433,386,1393594834,0.1318
434,3131,1393595220,0.132
435,392,1393595413,0.1304
436,198,1393595607,0.1303
437,2155,1393595805,0.1309
438,203,1393595996,0.1304
439,387,1393596199,0.1306
440,195,1393596586,0.1307
441,1179,1393596781,0.1309
442,389,1393596976,0.1307
443,195,1393597170,0.1304
444,595,1393597365,0.1309
445,198,1393597562,0.1301
446,200,1393597760,0.1304
447,391,1393597960,0.1313
448,191,1393598351,0.1325
449,190,1393598542,0.133
450,3713,1393598732,0.1343
451,3520,1393598925,0.1332
452,1169,1393599118,0.1324
453,195,1393599506,0.1312
454,586,1393599701,0.1322
455,384,1393599903,0.1301
456,194,1393600093,0.13
457,1378,1393600287,0.1326
458,192,1393600483,0.131
459,792,1393600675,0.1318
460,399,1393600870,0.1307
461,198,1393601269,0.1315
462,198,1393601467,0.1326
463,780,1393601665,0.133
464,197,1393601859,0.1312
465,389,1393602056,0.1326
466,192,1393602253,0.1318
467,198,1393602445,0.1403
468,398,1393602643,0.1457
469,198,1393602843,0.1414
470,195,1393603041,0.1487
471,201,1393603236,0.1576
472,195,1393603437,0.1739
473,1583,1393603632,0.2107
474,197,1393603830,0.1487
475,197,1393604027,0.1576
476,594,1393604224,0.1644
477,196,1393604424,0.1525
478,198,1393604620,0.1644
479,397,1393604818,0.1881
480,274846,1393605215,0.601
481,2410,1393605414,0.2107
482,2211,1393605613,0.1576
483,1813,1393606011,0.1457
484,396,1393606216,0.1433
485,1212,1393606612,0.1457
486,206,1393606811,0.1357
487,207,1393607017,0.1433
488,600,1393607224,0.1457
489,203,1393607423,0.1385
490,198,1393607626,0.1414
491,205,1393607824,0.2504
492,272032,1393608029,0.601
493,4754,1393613735,0.6
494,261572,1393618489,0.601
495,5816,1393640595,0.6
496,233650,1393646411,0.601
497,71788,1393653167,0.1365
498,49893,1393653348,0.1296
499,536,1393654066,0.1291
500,178,1393654245,0.1289
501,179,1393654423,0.129
502,175,1393654602,0.1293
503,48269,1393654777,0.1294
504,354,1393654952,0.1289
505,176,1393655306,0.129
506,41811,1393655482,0.1291
507,40682,1393655660,0.129
508,174,1393656016,0.1289
509,40152,1393656190,0.129
510,35038,1393656371,0.1288
511,30687,1393656549,0.1287
512,29787,1393657260,0.1286
513,178,1393658851,0.1285
514,28018,1393659029,0.1286
515,2511,1393659214,0.1285
516,25322,1393661725,0.1286
517,15235,1393661905,0.1285
518,14690,1393662266,0.1284
519,1435,1393663878,0.1283
520,11643,1393665313,0.1284
521,547,1393665490,0.1282
522,6703,1393666037,0.1283
523,722,1393668028,0.1282
524,3990,1393668750,0.1283
525,358,1393669471,0.1282
526,2911,1393669829,0.1283
527,4216,1393672740,0.1284
528,366,1393672919,0.1283
529,3671,1393673285,0.1284
530,1641,1393673648,0.1283
531,1667,1393675289,0.1284
532,378,1393676211,0.1283
533,367,1393676589,0.1284
534,184,1393676956,0.1285
