aggregation_time,timestamp
37,2025-04-29 08:04:03.793
33,2025-04-29 08:04:04.748
38,2025-04-29 08:04:05.690
33,2025-04-29 08:04:06.615
36,2025-04-29 08:04:07.581
33,2025-04-29 08:04:08.494
36,2025-04-29 08:04:09.441
32,2025-04-29 08:04:10.397
38,2025-04-29 08:04:11.340
33,2025-04-29 08:04:12.291
37,2025-04-29 08:04:13.191
33,2025-04-29 08:04:14.149
38,2025-04-29 08:04:15.101
33,2025-04-29 08:04:16.002
36,2025-04-29 08:04:16.928
33,2025-04-29 08:04:17.850
36,2025-04-29 08:04:18.784
33,2025-04-29 08:04:19.686
39,2025-04-29 08:04:20.659
33,2025-04-29 08:04:21.612
40,2025-04-29 08:04:22.586
33,2025-04-29 08:04:23.527
38,2025-04-29 08:04:24.469
33,2025-04-29 08:04:25.372
41,2025-04-29 08:04:26.369
33,2025-04-29 08:04:27.301
42,2025-04-29 08:04:28.285
38,2025-04-29 08:04:29.452
38,2025-04-29 08:04:30.390
33,2025-04-29 08:04:31.476
37,2025-04-29 08:04:32.434
36,2025-04-29 08:04:33.414
38,2025-04-29 08:04:34.364
33,2025-04-29 08:04:35.343
36,2025-04-29 08:04:36.296
35,2025-04-29 08:04:37.293
36,2025-04-29 08:04:38.271
34,2025-04-29 08:04:39.253
38,2025-04-29 08:04:40.269
33,2025-04-29 08:04:41.203
37,2025-04-29 08:04:42.139
92,2025-04-29 08:04:43.169
38,2025-04-29 08:04:44.108
37,2025-04-29 08:04:45.101
37,2025-04-29 08:04:46.020
33,2025-04-29 08:04:46.992
36,2025-04-29 08:04:47.940
33,2025-04-29 08:04:48.901
38,2025-04-29 08:04:49.810
33,2025-04-29 08:04:50.770
36,2025-04-29 08:04:51.732
33,2025-04-29 08:04:52.660
38,2025-04-29 08:04:53.603
33,2025-04-29 08:04:54.517
36,2025-04-29 08:04:55.494
34,2025-04-29 08:04:56.407
36,2025-04-29 08:04:57.358
32,2025-04-29 08:04:58.342
38,2025-04-29 08:04:59.275
36,2025-04-29 08:05:00.252
37,2025-04-29 08:05:01.156
33,2025-04-29 08:05:02.087
38,2025-04-29 08:05:02.990
33,2025-04-29 08:05:03.974
